Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C203, C204, C205, C206, C207, C208, C209, C211, C212, C213, C401, C419, C432",0402,15,100n,
"C210, C304, C423, C424",0402,4,1u,
"C214, C215, C501, C502",0402,4,10p,
"C301, C302, C303, C404, C405, C406, C407, C408, C409, C410, C411, C412, C413, C416, C420, C427",0805,16,10u,
"C402, C403, C414, C415",CP_Radial_D6.3mm_P2.50mm,4,56u,
"C417, C418, C421, C422",0805,4,22u,
C425,0603,1,2u2,
C426,0402,1,1n,
C428,0402,1,10n,
C429,0402,1,680p,
C430,0402,1,68p,
C431,0402,1,100p,
C433,0402,1,33n,
D401,D_SMC,1,MBRS360,
D402,SOT-23,1,BZX84C6V2L,
"D403, D404",D_SOD-123,2,SBR0560S1,
"D405, D406",0603,2,LED-GREEN,
F401,0603,1,5A,
F402,1206,1,20A,
"H101, H102, H103, H104",MountingHole_3.2mm_M3,4,MountingHole,
J301,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J401,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60,
J402,JST_VH_B7P-VH-FB-B_1x07_P3.96mm_Vertical,1,Conn_balance,
J403,PinHeader_1x02_P2.54mm_Vertical,1,Conn_NTC,
"J501, J502",RJ9_Evercom_5301-440xxx_Horizontal,2,RJ9,
JP501,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_termination,
"L401, L403",1210,2,4u7,
L402,L_Coilcraft_XAL1010-XXX,1,XAL1010-153MED,
"Q401, Q402",PowerPAK_SO-8_Dual,2,Si7252DP,
"Q403, Q501",PowerPAK_SO-8_Single,2,Si7461DP,
"R201, R302, R303, R304, R305, R306, R410, R420, R421, R501, R505, R506, R507",0402,13,10k,
"R202, R205, R301, R416, R417, R418, R419",0402,7,1k,
"R203, R204",0402,2,27,
"R401, R402",R_Shunt_Vishay_WSR2_WSR3_KelvinConnection_4pins,2,8m,
"R403, R408",0402,2,100,
R404,0402,1,105k,
"R405, R406",0402,2,215k,
R407,R_Shunt_Vishay_WSKW0612,1,2m,
R409,0402,1,4R7,
"R411, R412",0402,2,24k9,
R413,0402,1,100k,
R414,0402,1,56k,
R415,0402,1,47k,
"R502, R504",0402,2,5k1,
R503,0402,1,120,
"SW201, SW202",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
TP401,TestPoint_Pad_D2.0mm,1,TP3V3,
TP402,TestPoint_Pad_D2.0mm,1,TP5V,
TP403,TestPoint_Pad_2.5x2.5mm,1,BAT_S5,
TP404,TestPoint_Pad_2.5x2.5mm,1,BAT_PROT+,
TP405,TestPoint_Pad_2.5x2.5mm,1,BAT_UNPROT+,
TP406,TestPoint_Pad_2.5x2.5mm,1,BAT_S4,
TP407,TestPoint_Pad_2.5x2.5mm,1,BAT_PROT-,
TP408,TestPoint_Pad_2.5x2.5mm,1,BAT_UNPROT-,
TP409,TestPoint_Pad_2.5x2.5mm,1,BAT_S3,
TP410,TestPoint_Pad_2.5x2.5mm,1,BAT_S2,
TP411,TestPoint_Pad_2.5x2.5mm,1,BAT_S1,
U201,WSON-8-1EP_4x4mm_P0.8mm_EP2.2x3mm,1,W25Q64JVXGIQ,
U202,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U301,ESSOP10,1,CH224K,
U401,TSOT-23-6,1,AP63203WU,
U402,TSOT-23-6,1,AP63205WU,
U403,QFN-38-1EP_5x7mm_P0.5mm_EP3.15x5.15mm_ThermalVias,1,LTC4020,
U501,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,
U502,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,
Y201,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12M,
Y501,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,1,8M,
