Designator,Mid X,Mid Y,Rotation,Layer
C201,117.0,-129.75,0.0,top
C202,117.25,-126.0,0.0,top
C203,117.25,-124.0,0.0,top
C204,117.25,-125.0,0.0,top
C205,112.75,-122.25,90.0,top
C206,111.75,-122.25,90.0,top
C207,106.0,-125.5,180.0,top
C208,106.0,-129.75,180.0,top
C209,111.75,-134.75,270.0,top
C210,115.75,-122.25,90.0,top
C211,110.75,-122.0,90.0,top
C212,112.75,-134.75,270.0,top
C213,109.75,-120.5,0.0,top
C214,108.25,-137.75,270.0,top
C215,112.75,-138.0,90.0,top
C301,105.89,-81.395,0.0,top
C302,98.64,-81.645,180.0,top
C303,121.75,-76.25,90.0,top
C304,119.75,-76.5,0.0,top
C401,122.65,-119.8875,270.0,top
C402,102.0,-89.75,180.0,top
C403,102.0,-96.75,180.0,top
C404,112.0,-88.75,90.0,top
C405,114.0,-88.75,90.0,top
C406,110.0,-88.75,90.0,top
C407,108.0,-88.75,90.0,top
C408,116.0,-88.75,90.0,top
C409,140.5,-114.25,270.0,top
C410,138.5,-114.25,270.0,top
C411,136.5,-114.25,270.0,top
C412,146.8,-105.75,0.0,top
C413,146.8,-103.5,0.0,top
C414,144.75,-110.5,0.0,top
C415,144.75,-117.5,0.0,top
C416,127.75,-121.8875,90.0,top
C417,120.0,-115.915,180.0,top
C418,120.0,-117.915,180.0,top
C419,134.25,-122.5,0.0,top
C420,136.25,-117.5,180.0,top
C421,132.25,-123.75,270.0,top
C422,130.25,-123.75,270.0,top
C423,121.0,-85.0,270.0,top
C424,129.0,-85.0,90.0,top
C425,132.25,-90.0,270.0,top
C426,130.72,-92.0,180.0,top
C427,126.35,-82.25,0.0,top
C428,132.76,-86.75,0.0,top
C429,132.76,-85.75,0.0,top
C430,130.75,-84.75,0.0,top
C431,130.75,-87.75,0.0,top
C432,120.75,-90.25,270.0,top
C433,119.25,-87.0,90.0,top
C501,132.695,-131.0,0.0,top
C502,138.925,-127.5,90.0,top
D401,135.62,-109.0,180.0,top
D402,130.25,-81.95,90.0,top
D403,119.0,-83.5,90.0,top
D404,133.2725,-82.7275,90.0,top
D405,104.0,-132.25,180.0,top
D406,104.0,-133.75,180.0,top
F401,139.8,-117.5,180.0,top
F402,142.0,-95.25,90.0,top
J301,102.14,-75.395,180.0,top
J401,143.5,-81.5,0.0,top
J402,158.75,-88.0125,90.0,top
J403,120.75,-94.0,270.0,top
J501,145.475,-136.75,0.0,top
J502,158.625,-136.75,0.0,top
JP501,133.675,-142.5,90.0,top
L401,125.0,-117.3875,90.0,top
L402,124.6425,-102.5,0.0,top
L403,131.75,-120.25,180.0,top
Q301,109.75,-79.075,0.0,top
Q401,116.3,-101.75,90.0,top
Q402,133.2,-102.0,270.0,top
Q403,142.2,-101.75,180.0,top
Q501,156.5,-122.75,0.0,top
Q502,162.25,-124.1625,90.0,top
R201,116.5,-133.25,270.0,top
R202,101.5,-124.25,90.0,top
R203,113.75,-122.25,270.0,top
R204,114.75,-122.25,270.0,top
R205,110.75,-134.75,90.0,top
R301,119.75,-77.5,180.0,top
R302,110.0,-74.5,0.0,top
R303,106.0,-128.25,0.0,top
R304,110.25,-76.25,90.0,top
R305,112.75,-80.0,0.0,top
R401,109.51,-97.45,270.0,top
R402,112.25,-109.25,180.0,top
R403,130.24,-89.0,0.0,top
R404,119.25,-90.0,90.0,top
R405,128.75,-94.0,90.0,top
R406,124.75,-93.25,90.0,top
R407,137.6,-102.25,90.0,top
R408,130.25,-91.0,0.0,top
R409,130.25,-90.0,180.0,top
R410,118.25,-90.0,270.0,top
R411,127.75,-94.0,270.0,top
R412,126.25,-93.5,0.0,top
R413,118.75,-88.5,180.0,top
R414,130.76,-86.75,0.0,top
R415,130.76,-85.75,0.0,top
R416,101.4625,-132.25,0.0,top
R417,101.4625,-133.75,0.0,top
R418,105.4,-102.1,90.0,top
R419,142.76,-125.0,180.0,top
R420,140.75,-125.02,0.0,top
R421,105.4,-100.1,270.0,top
R501,159.8,-122.98,270.0,top
R502,159.8,-125.0,270.0,top
R503,137.675,-142.0,90.0,top
R504,127.675,-140.0,180.0,top
R505,126.175,-139.5,90.0,top
R506,135.175,-134.5,180.0,top
R507,122.925,-133.75,90.0,top
SW201,118.25,-142.0,180.0,top
SW202,102.75,-128.0,90.0,top
U201,106.3,-121.75,0.0,top
U202,111.71,-128.73,90.0,top
U301,114.75,-74.5,90.0,top
U401,125.0,-121.8875,270.0,top
U402,136.25,-120.25,0.0,top
U403,124.8125,-87.675,90.0,top
U501,132.425,-138.0,270.0,top
U502,127.425,-131.0,90.0,top
Y201,110.5,-137.8,180.0,top
Y501,135.175,-128.25,180.0,top
