Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C302, C306, C501, C503, C507, C508, C509, C512",0805,10,10u,
"C203, C204, C301, C305, C401, C402, C403, C404, C405, C406, C407, C408, C409, C411, C412, C413, C502, C504, C505, C506, C510, C511, C513, C601, C602",0402,25,100n,
"C205, C206, C414, C415",0402,4,10p,
"C303, C304, C307, C308",0805,4,22u,
C410,0402,1,1u,
D401,Nexperia_DSN1608-2_1.6x0.8mm,1,D_Schottky,
D501,KR DMLQ32. 23,1,LED-red,KR DMLQ32.23-6K6M-26-M3W3
D502,LUXEON 7070,1,LED-main, L170-3070701200000 
"D503, D504, D505",KR DMLQ32. 23,3,LED-red,https://www.mouser.se/ProductDetail/ams-OSRAM/KR-DMLQ32.23-6K6M-26-M3W3?qs=17ckDYBRdel7QO45NNgPaw%3D%3D
"D506, D507, D508, D509",JE2835_Amber,4,LED-amber, JE2835AAM-N-0001A0000-N0000001
D601,0603,1,R,
D602,0603,1,G,
D603,0603,1,B,
F201,0603,1,4A,
"H101, H102, H103, H104",MountingHole_3.2mm_M3,4,MountingHole,
"J201, J202",RJ9_Evercom_5301-440xxx_Horizontal,2,RJ9,
J401,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
JP201,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_termination,
"L301, L302",1210,2,4u7,
L501,L_Changjiang_FNR5045S,1,20u,
L502,L_Coilcraft_XAL4040-XXX,1,15u,
L503,L_Sunlord_SWPA252012S,1,5.6u,
"R201, R603, R604, R605",0402,4,120,
"R202, R401, R402, R601, R602",0402,5,5k1,
"R203, R204, R205, R403",0402,4,10k,
"R404, R407",0402,2,1k,
"R405, R406",0402,2,27,
R501,0805,1,100m,
"R502, R503",1206,2,200m,
"SW401, SW402",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
TP201,TestPoint_Pad_D2.0mm,1,TPVin,
TP301,TestPoint_Pad_D2.0mm,1,TP3V3,
TP302,TestPoint_Pad_D2.0mm,1,TP5V,
TP501,TestPoint_Pad_D2.0mm,1,TPLED2+,
TP502,TestPoint_Pad_D2.0mm,1,TPLED1+,
TP503,TestPoint_Pad_D2.0mm,1,TPLED1-,
TP504,TestPoint_Pad_D2.0mm,1,TPLED2-,
TP505,TestPoint_Pad_D2.0mm,1,TPLED3+,
TP506,TestPoint_Pad_D2.0mm,1,TPLED3-,
U201,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,
U202,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,
U301,TSOT-23-6,1,AP63203WU,
U302,TSOT-23-6,1,AP63205WU,
U401,WSON-8-1EP_4x4mm_P0.8mm_EP2.2x3mm,1,W25Q64JVXGIQ,
U402,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
"U501, U502, U503",VQFN-HR-6pin-TexasInstruments,3,TPS92200,
U504,SOT-353_SC-70-5,1,TMP236,
U601,MC3479,1,MC3479,
U602,Lite-On_LTR-303ALS-01,1,LTR-303ALS-01,
Y201,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,1,8M,
Y401,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12M,
