Designator,Mid X,Mid Y,Rotation,Layer
C201,88.0,-46.0,180.0,top
C202,88.0,-43.65,180.0,top
C203,104.3,-49.675,270.0,top
C204,101.185,-59.25,180.0,top
C205,104.8,-58.675,270.0,top
C206,112.3,-58.675,90.0,top
C301,89.3875,-63.68,270.0,top
C302,95.5,-62.75,270.0,top
C303,91.8875,-66.95,270.0,top
C304,89.8875,-66.95,270.0,top
C305,89.475,-55.98,270.0,top
C306,95.5,-54.75,270.0,top
C307,92.05,-59.0,270.0,top
C308,90.0,-59.0,270.0,top
C401,125.3,-50.95,90.0,top
C402,129.3,-54.7,0.0,top
C403,129.3,-52.7,0.0,top
C404,129.3,-53.7,0.0,top
C405,124.3,-50.95,90.0,top
C406,118.5,-54.75,180.0,top
C407,118.55,-57.95,180.0,top
C408,124.55,-62.43,270.0,top
C409,128.75,-57.5,90.0,top
C410,128.3,-50.95,90.0,top
C411,125.55,-62.45,270.0,top
C412,123.3,-50.95,90.0,top
C413,122.25,-49.0,0.0,top
C414,119.0,-64.4,90.0,top
C415,123.4,-64.52,270.0,top
C501,90.25,-89.25,180.0,top
C502,91.48,-91.0,180.0,top
C503,111.285,-101.25,0.0,top
C504,110.055,-99.25,0.0,top
C505,91.75,-94.5,0.0,top
C506,109.785,-95.75,180.0,top
C507,96.0,-88.75,180.0,top
C508,106.535,-101.25,0.0,top
C509,122.7,-88.735,180.0,top
C510,125.6,-88.95,90.0,top
C511,126.2,-93.235,0.0,top
C512,128.45,-88.735,180.0,top
C513,110.2,-83.15,270.0,top
C601,130.8,-44.2,0.0,top
C602,132.05,-50.7,270.0,top
D401,123.4,-40.4,90.0,top
D501,93.3,-86.0,270.0,bottom
D502,110.66,-91.0,0.0,bottom
D503,124.3,-86.0,270.0,bottom
D504,122.95,-96.75,90.0,bottom
D505,92.0,-96.75,90.0,bottom
D506,127.5,-83.0,0.0,bottom
D507,127.5,-99.5,0.0,bottom
D508,88.14,-83.0,0.0,bottom
D509,88.0,-99.5,0.0,bottom
D601,115.3,-63.45,90.0,top
D602,113.55,-63.45,90.0,top
D603,117.05,-63.45,90.0,top
F201,91.0,-44.5,90.0,top
J201,114.0,-37.0,180.0,top
J202,98.25,-37.0,180.0,top
J401,129.29,-37.21,90.0,top
JP201,87.75,-40.5,270.0,top
L301,87.1375,-64.6,270.0,top
L302,87.25,-56.9,270.0,top
L501,95.6,-92.75,0.0,top
L502,106.35,-97.5,180.0,top
L503,127.95,-91.235,0.0,top
R201,91.5,-38.75,90.0,top
R202,103.185,-59.425,270.0,top
R203,101.185,-60.25,180.0,top
R204,97.935,-52.425,270.0,top
R205,105.8,-47.435,0.0,top
R401,122.75,-35.5,180.0,top
R402,122.75,-38.5,180.0,top
R403,126.55,-63.95,90.0,top
R404,118.5,-53.75,0.0,top
R405,126.28,-50.95,270.0,top
R406,127.28,-50.95,270.0,top
R407,123.4,-62.6,90.0,top
R501,112.535,-97.25,270.0,top
R502,88.75,-92.75,90.0,top
R503,121.45,-92.235,90.0,top
R601,130.65,-51.2,180.0,top
R602,130.65,-50.2,180.0,top
R603,115.3,-65.95,270.0,top
R604,113.64,-65.95,270.0,top
R605,117.05,-65.95,270.0,top
SW401,129.8,-63.2,0.0,top
SW402,115.8,-55.7,90.0,top
U201,101.3,-54.425,0.0,top
U202,108.5,-52.0,0.0,top
U301,92.1375,-63.2,0.0,top
U302,92.1375,-55.5,0.0,top
U401,119.05,-50.2,0.0,top
U402,124.0,-57.0,90.0,top
U501,91.275,-92.75,180.0,top
U502,110.1,-97.5,0.0,top
U503,125.1,-91.2,180.0,top
U504,112.45,-83.15,0.0,top
U601,130.4,-45.95,90.0,top
U602,130.65,-48.45,180.0,top
Y201,108.55,-58.675,180.0,top
Y401,121.325,-64.5,90.0,top
