Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C201, C202, C203, C204, C205, C206, C207, C208, C209, C211, C212, C213, C303, C304, C307, C311",0402,18,100n,
C210,0402,1,1u,
"C214, C215, C305, C306",0402,4,10p,
"C301, C302, C308, C312",0805,4,10u,
"C309, C310, C313, C314",0805,4,22u,
D201,Nexperia_DSN1608-2_1.6x0.8mm,1,D_Schottky,
F301,0603,1,4A,
J101,PinHeader_1x03_P2.54mm_Vertical,1,conn_turnSignal,
J102,PinHeader_1x04_P2.54mm_Vertical,1,conn_OLED,
J103,PinHeader_1x05_P2.54mm_Vertical,1,conn_joystick,
J202,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J301, J302",RJ9_Evercom_5301-440xxx_Horizontal,2,RJ9,
JP301,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_termination,
"L301, L302",1210,2,4u7,
"R201, R202, R302",0402,3,5k1,
"R203, R303, R304, R305",0402,4,10k,
"R204, R207",0402,2,1k,
"R205, R206",0402,2,27,
R301,0402,1,120,
"SW201, SW202",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
TP301,TestPoint_Pad_D2.0mm,1,TPVin,
TP302,TestPoint_Pad_D2.0mm,1,TP3V3,
TP303,TestPoint_Pad_D2.0mm,1,TP5V,
U201,WSON-8-1EP_4x4mm_P0.8mm_EP2.2x3mm,1,W25Q64JVXGIQ,
U202,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U301,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,
U302,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,
U303,TSOT-23-6,1,AP63203WU,
U304,TSOT-23-6,1,AP63205WU,
Y201,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12M,
Y301,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,1,8M,
