Designator,Mid X,Mid Y,Rotation,Layer
C101,153.8,-50.895,0.0,top
C102,156.3,-50.895,0.0,top
C201,134.8,-47.2,180.0,top
C202,146.32,-41.75,0.0,top
C203,135.05,-43.7,180.0,top
C204,140.55,-52.7,270.0,top
C205,147.0,-46.5,0.0,top
C206,146.3,-43.7,0.0,top
C207,141.55,-39.95,90.0,top
C208,140.57,-39.95,90.0,top
C209,146.3,-42.7,0.0,top
C210,144.57,-39.95,90.0,top
C211,139.55,-39.7,90.0,top
C212,141.5,-52.72,270.0,top
C213,136.0,-39.0,0.0,top
C214,138.0,-52.0,90.0,top
C215,130.55,-52.7,270.0,top
C301,114.75,-53.75,0.0,top
C302,111.9,-49.05,90.0,top
C303,111.5,-46.5,180.0,top
C304,112.77,-38.0,180.0,top
C305,120.25,-44.5,0.0,top
C306,120.25,-37.0,180.0,top
C307,122.55,-47.75,270.0,top
C308,127.95,-48.8325,90.0,top
C309,123.75,-40.8,90.0,top
C310,125.75,-40.8,90.0,top
C311,117.05,-46.75,180.0,top
C312,114.75,-51.75,0.0,top
C313,119.75,-51.75,180.0,top
C314,119.75,-53.75,180.0,top
D201,133.5,-34.45,0.0,top
F301,111.5,-51.5,0.0,top
J101,155.25,-53.45,90.0,top
J102,158.3,-42.7,180.0,top
J103,152.795,-31.7,270.0,top
J202,140.3,-33.37,180.0,top
J301,100.35,-35.6,270.0,top
J302,100.35,-48.75,270.0,top
JP301,118.685,-32.75,0.0,top
L301,124.75,-44.8,90.0,top
L302,119.4,-49.0,0.0,top
R201,146.8,-34.2,0.0,top
R202,146.8,-35.2,0.0,top
R203,144.5,-52.75,90.0,top
R204,134.05,-45.45,90.0,top
R205,142.55,-39.95,270.0,top
R206,143.55,-39.95,270.0,top
R207,139.25,-53.25,90.0,top
R301,118.0,-36.5,180.0,top
R302,116.76,-38.0,180.0,top
R303,114.76,-38.0,180.0,top
R304,110.75,-31.5,270.0,top
R305,113.5,-46.5,0.0,top
SW201,148.0,-53.45,180.0,top
SW202,131.5,-45.95,90.0,top
U201,132.6,-40.2,0.0,top
U202,140.5,-46.25,90.0,top
U301,114.0,-33.435,0.0,top
U302,113.875,-42.25,90.0,top
U303,124.75,-49.22,270.0,top
U304,115.0125,-49.0,180.0,top
Y201,135.7,-52.4,0.0,top
Y301,120.25,-40.75,270.0,top
